Sample	X
1	0.317
1	0.2
1	0.18
1	0.188
1	0.191
1	0.21
2	0.296
2	0.217
2	0.183
2	0.176
2	0.176
2	0.134
3	0.225
3	0.21
3	0.181
3	0.176
3	0.188
3	0.181
4	0.189
4	0.172
4	0.165
4	0.181
4	0.154
4	0.276
5	0.219
5	0.206
5	0.184
5	0.191
5	0.188
5	0.178
6	0.201
6	0.198
6	0.544
6	0.193
6	0.188
6	0.184
7	0.18
7	0.178
7	0.177
7	0.181
7	0.185
7	0.298
8	0.387
8	0.298
8	0.198
8	0.188
8	0.184
8	0.191
9	0.396
9	0.224
9	0.19
9	0.245
9	0.171
9	0.198
10	0.18
10	0.191
10	0.184
10	0.398
10	0.204
10	0.199
11	0.19
11	0.185
11	0.172
11	0.183
11	0.184
11	0.187
12	0.218
12	0.154
12	0.218
12	0.191
12	0.178
12	0.183
13	0.194
13	0.2
13	0.204
13	0.203
13	0.196
13	0.188
14	0.399
14	0.149
14	0.164
14	0.178
14	0.188
14	0.183
15	0.271
15	0.222
15	0.193
15	0.19
15	0.178
15	0.201
16	0.266
16	0.241
16	0.208
16	0.183
16	0.188
16	0.19
17	0.261
17	0.163
17	0.194
17	0.188
17	0.211
17	0.231
18	0.2
18	0.18
18	0.186
18	0.183
18	0.23
18	0.217
19	0.198
19	0.218
19	0.194
19	0.188
19	0.201
19	0.191
20	0.207
20	0.193
20	0.363
20	0.254
20	0.243
20	0.188
21	0.206
21	0.197
21	0.193
21	0.177
21	0.218
21	0.174
22	0.226
22	0.182
22	0.276
22	0.176
22	0.236
22	0.352
23	0.536
23	0.191
23	0.226
23	0.186
23	0.188
23	0.178
24	0.167
24	0.178
24	0.278
24	0.191
24	0.221
24	0.145
25	0.289
25	0.267
25	0.179
25	0.167
25	0.15
25	0.103
26	0.245
26	0.332
26	0.217
26	0.167
26	0.222
26	0.135
27	0.343
27	0.245
27	0.178
27	0.189
27	0.188
27	0.165
28	0.105
28	0.24
28	0.19
28	0.113
28	0.178
28	0.189
29	0.398
29	0.21
29	0.2
29	0.301
29	0.189
29	0.191
30	0.188
30	0.17
30	0.341
30	0.278
30	0.15
30	0.167
